feature,importance
INT_NbOfSeats_x_IdAircraftType_lag_6months_mean,48
airlineOACICode_lag_1month_std,47
airlineOACICode_lag91_win20_mean,47
airlineOACICode_trend_182D_vs_365D_max,47
MOM_IdAircraftType_rolling_week_median_accel_rolling_month.1,47
SysTerminal_trend_30D_vs_91D_max,47
SysTerminal,47
IdAircraftType_lag30_win14_mean,47
SysTerminal_trend_14D_vs_30D_max,47
SysTerminal_lag_1day_median,47
SysTerminal_rolling_quarter_median,46
MOM_SysTerminal_lag91_win20_max_year_over_year_lag365_win28,46
cos_Month,46
MOM_SysTerminal_lag91_win20_mean_year_over_year_lag365_win28,46
MOM_airlineOACICode_rolling_quarter_max_season_ratio_rolling_year,45
FlightNumberNormalized_lag91_win20_mean,45
INT_NbOfSeats_x_IdAircraftType_lag182_win20_mean,45
airlineOACICode_lag30_win14_max,45
Direction,45
Direction_trend_182D_vs_365D_max,45
INT_NbOfSeats_x_IdAircraftType_lag_3months_mean,45
INT_NbOfSeats_x_IdAircraftType_lag91_win20_mean,45
